problem,layer,expected,casc,casc_t,disc,disc_t,lrs,lrs_t,otter,otter_t,e,e_t,z3,z3_t,cvc5,cvc5_t
KGC900-1,Alignment,Theorem,Theorem,0.50,Theorem,0.11,Theorem,0.12,Theorem,0.11,Theorem,0.04,unsat,0.06,unsat,0.08
KGC901-1,Alignment,Theorem,Theorem,0.04,Theorem,0.09,Theorem,0.10,Theorem,0.09,Theorem,0.04,sat,0.12,unknown,0.03
KGC902-1,Alignment,Theorem,Theorem,0.14,Theorem,0.05,Theorem,0.04,Theorem,0.04,Theorem,0.04,unsat,0.02,unsat,0.02
KGC910-1,Alignment,Theorem,Theorem,0.03,Theorem,0.02,Theorem,0.02,Theorem,0.02,Theorem,0.01,unsat,0.03,unsat,0.02
KGC700-1,Composition,Theorem,Theorem,0.76,Theorem,0.24,Theorem,0.22,Theorem,0.22,Theorem,0.05,unsat,0.02,unsat,0.01
KGC701-1,Composition,CounterSatisfiable,CounterSatisfiable,1.46,Timeout,10.03,Timeout,10.03,Timeout,10.03,CounterSatisfiable,0.16,sat,0.05,unknown,0.07
KGC702-1,Composition,Theorem,Theorem,0.04,Theorem,0.03,Theorem,0.03,Theorem,0.03,Theorem,0.02,sat,0.02,unknown,0.01
KGC703-1,Composition,CounterSatisfiable,CounterSatisfiable,1.37,CounterSatisfiable,0.03,CounterSatisfiable,0.03,CounterSatisfiable,0.03,CounterSatisfiable,1.51,sat,0.02,unknown,0.02
KGC704-1,Composition,Theorem,Theorem,0.43,Theorem,0.09,Theorem,0.08,Theorem,0.07,Theorem,0.03,unsat,0.02,unsat,0.01
KGC705-1,Composition,CounterSatisfiable,Timeout,9.98,Timeout,10.03,Timeout,10.02,Timeout,10.03,ResourceOut,10.03,sat,0.05,unknown,0.06
KGC706-1,Composition,Theorem,Theorem,3.77,Theorem,0.40,Theorem,0.34,Theorem,0.34,Theorem,0.05,unsat,0.01,unsat,0.01
KGC710-1,Composition,Theorem,Theorem,0.37,Theorem,0.09,Theorem,0.11,Theorem,0.11,Theorem,2.19,unsat,0.02,unsat,0.01
KGC711-1,Composition,Theorem,Theorem,0.03,Theorem,0.03,Theorem,0.03,Theorem,0.03,Theorem,0.03,sat,0.02,unknown,0.01
KGC712-1,Composition,Theorem,Theorem,0.04,Theorem,0.03,Theorem,0.03,Theorem,0.03,Theorem,0.11,sat,0.02,unknown,0.01
KGC713-1,Composition,Theorem,Theorem,3.49,Theorem,0.15,Theorem,0.16,Theorem,0.16,Theorem,5.22,unsat,0.02,unsat,0.01
KGC300-1,Conflict,Theorem,Theorem,0.06,Theorem,0.06,Theorem,0.05,Theorem,0.05,Theorem,0.26,unsat,0.02,unsat,0.01
KGC301-1,Conflict,CounterSatisfiable,CounterSatisfiable,0.77,CounterSatisfiable,0.03,CounterSatisfiable,0.03,CounterSatisfiable,0.03,CounterSatisfiable,0.06,sat,0.02,sat,0.01
